Center Camera Images,Left Camera Images,Right Camera Images,Steering Angle,,,
/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/center_2019_02_28_17_29_09_472.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/left_2019_02_28_17_29_09_472.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/right_2019_02_28_17_29_09_472.jpg,-0.07042254,1,0,30.19018
/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/center_2019_02_28_17_29_09_565.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/left_2019_02_28_17_29_09_565.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/right_2019_02_28_17_29_09_565.jpg,-0.07042254,1,0,30.18998
/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/center_2019_02_28_17_29_09_659.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/left_2019_02_28_17_29_09_659.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/right_2019_02_28_17_29_09_659.jpg,-0.07042254,1,0,30.1902
/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/center_2019_02_28_17_29_09_758.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/left_2019_02_28_17_29_09_758.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/right_2019_02_28_17_29_09_758.jpg,-0.07042254,1,0,30.19019
/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/center_2019_02_28_17_29_09_860.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/left_2019_02_28_17_29_09_860.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/right_2019_02_28_17_29_09_860.jpg,-0.07042254,1,0,30.19021
/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/center_2019_02_28_17_29_09_965.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/left_2019_02_28_17_29_09_965.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/right_2019_02_28_17_29_09_965.jpg,-0.07042254,1,0,30.1902
/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/center_2019_02_28_17_29_10_051.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/left_2019_02_28_17_29_10_051.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/right_2019_02_28_17_29_10_051.jpg,-0.07042254,1,0,30.19017
/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/center_2019_02_28_17_29_10_126.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/left_2019_02_28_17_29_10_126.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/right_2019_02_28_17_29_10_126.jpg,-0.07042254,1,0,30.19018
/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/center_2019_02_28_17_29_10_194.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/left_2019_02_28_17_29_10_194.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/right_2019_02_28_17_29_10_194.jpg,-0.07042254,1,0,30.19021
/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/center_2019_02_28_17_29_10_300.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/left_2019_02_28_17_29_10_300.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/right_2019_02_28_17_29_10_300.jpg,-0.07042254,1,0,30.19019
/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/center_2019_02_28_17_29_10_406.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/left_2019_02_28_17_29_10_406.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/right_2019_02_28_17_29_10_406.jpg,-0.03755869,1,0,30.19044
/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/center_2019_02_28_17_29_10_521.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/left_2019_02_28_17_29_10_521.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/right_2019_02_28_17_29_10_521.jpg,-0.02816901,1,0,30.19038
/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/center_2019_02_28_17_29_10_632.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/left_2019_02_28_17_29_10_632.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/right_2019_02_28_17_29_10_632.jpg,-0.02816901,1,0,30.19039
/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/center_2019_02_28_17_29_10_739.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/left_2019_02_28_17_29_10_739.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/right_2019_02_28_17_29_10_739.jpg,-0.02816901,1,0,30.19029
/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/center_2019_02_28_17_29_10_846.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/left_2019_02_28_17_29_10_846.jpg,/content/drive/My Drive/CarND-Behavioral-Cloning-P3/IMG/right_2019_02_28_17_29_10_846.jpg,-0.02816901,1,0,30.18992
