Center Camera Images,Left Camera Images,Right Camera Images,Steering Angle,Throttle,Brake,Speed
training_data/IMG/center_2017_11_12_00_43_46_297.jpg,training_data/IMG/left_2017_11_12_00_43_46_297.jpg,training_data/IMG/right_2017_11_12_00_43_46_297.jpg,0.02352941,1,0,30.19013
training_data/IMG/center_2017_11_12_00_43_46_375.jpg,training_data/IMG/left_2017_11_12_00_43_46_375.jpg,training_data/IMG/right_2017_11_12_00_43_46_375.jpg,0.02352941,1,0,30.19017
training_data/IMG/center_2017_11_12_00_43_46_457.jpg,training_data/IMG/left_2017_11_12_00_43_46_457.jpg,training_data/IMG/right_2017_11_12_00_43_46_457.jpg,0.02352941,1,0,30.19025
training_data/IMG/center_2017_11_12_00_43_46_537.jpg,training_data/IMG/left_2017_11_12_00_43_46_537.jpg,training_data/IMG/right_2017_11_12_00_43_46_537.jpg,0.02352941,1,0,30.19027
training_data/IMG/center_2017_11_12_00_43_46_614.jpg,training_data/IMG/left_2017_11_12_00_43_46_614.jpg,training_data/IMG/right_2017_11_12_00_43_46_614.jpg,0.02352941,1,0,30.19029
training_data/IMG/center_2017_11_12_00_43_46_690.jpg,training_data/IMG/left_2017_11_12_00_43_46_690.jpg,training_data/IMG/right_2017_11_12_00_43_46_690.jpg,0.02352941,1,0,30.19028
training_data/IMG/center_2017_11_12_00_43_46_762.jpg,training_data/IMG/left_2017_11_12_00_43_46_762.jpg,training_data/IMG/right_2017_11_12_00_43_46_762.jpg,0.02352941,1,0,30.19029
training_data/IMG/center_2017_11_12_00_43_46_832.jpg,training_data/IMG/left_2017_11_12_00_43_46_832.jpg,training_data/IMG/right_2017_11_12_00_43_46_832.jpg,0.02352941,1,0,30.19027
training_data/IMG/center_2017_11_12_00_43_46_902.jpg,training_data/IMG/left_2017_11_12_00_43_46_902.jpg,training_data/IMG/right_2017_11_12_00_43_46_902.jpg,0.02352941,1,0,30.19028
training_data/IMG/center_2017_11_12_00_43_46_969.jpg,training_data/IMG/left_2017_11_12_00_43_46_969.jpg,training_data/IMG/right_2017_11_12_00_43_46_969.jpg,0.02352941,1,0,30.19043
training_data/IMG/center_2017_11_12_00_43_47_067.jpg,training_data/IMG/left_2017_11_12_00_43_47_067.jpg,training_data/IMG/right_2017_11_12_00_43_47_067.jpg,0.02352941,1,0,30.19029
training_data/IMG/center_2017_11_12_00_43_47_163.jpg,training_data/IMG/left_2017_11_12_00_43_47_163.jpg,training_data/IMG/right_2017_11_12_00_43_47_163.jpg,0.02352941,1,0,30.19022
training_data/IMG/center_2017_11_12_00_43_47_233.jpg,training_data/IMG/left_2017_11_12_00_43_47_233.jpg,training_data/IMG/right_2017_11_12_00_43_47_233.jpg,0.02352941,1,0,30.19028
training_data/IMG/center_2017_11_12_00_43_47_301.jpg,training_data/IMG/left_2017_11_12_00_43_47_301.jpg,training_data/IMG/right_2017_11_12_00_43_47_301.jpg,0.02352941,1,0,30.19028
training_data/IMG/center_2017_11_12_00_43_47_398.jpg,training_data/IMG/left_2017_11_12_00_43_47_398.jpg,training_data/IMG/right_2017_11_12_00_43_47_398.jpg,0.02352941,1,0,30.19028
training_data/IMG/center_2017_11_12_00_43_47_495.jpg,training_data/IMG/left_2017_11_12_00_43_47_495.jpg,training_data/IMG/right_2017_11_12_00_43_47_495.jpg,0.02352941,1,0,30.1902
training_data/IMG/center_2017_11_12_00_43_47_562.jpg,training_data/IMG/left_2017_11_12_00_43_47_562.jpg,training_data/IMG/right_2017_11_12_00_43_47_562.jpg,0.02352941,1,0,30.19024
training_data/IMG/center_2017_11_12_00_43_47_661.jpg,training_data/IMG/left_2017_11_12_00_43_47_661.jpg,training_data/IMG/right_2017_11_12_00_43_47_661.jpg,0.02352941,1,0,30.19028
training_data/IMG/center_2017_11_12_00_43_47_732.jpg,training_data/IMG/left_2017_11_12_00_43_47_732.jpg,training_data/IMG/right_2017_11_12_00_43_47_732.jpg,0.06470589,1,0,30.1895
training_data/IMG/center_2017_11_12_00_43_47_829.jpg,training_data/IMG/left_2017_11_12_00_43_47_829.jpg,training_data/IMG/right_2017_11_12_00_43_47_829.jpg,0.06470589,1,0,30.18991
training_data/IMG/center_2017_11_12_00_43_47_898.jpg,training_data/IMG/left_2017_11_12_00_43_47_898.jpg,training_data/IMG/right_2017_11_12_00_43_47_898.jpg,0.06470589,1,0,30.19005
training_data/IMG/center_2017_11_12_00_43_47_993.jpg,training_data/IMG/left_2017_11_12_00_43_47_993.jpg,training_data/IMG/right_2017_11_12_00_43_47_993.jpg,0.06470589,1,0,30.19012
training_data/IMG/center_2017_11_12_00_43_48_090.jpg,training_data/IMG/left_2017_11_12_00_43_48_090.jpg,training_data/IMG/right_2017_11_12_00_43_48_090.jpg,0.1,1,0,30.18952
training_data/IMG/center_2017_11_12_00_43_48_186.jpg,training_data/IMG/left_2017_11_12_00_43_48_186.jpg,training_data/IMG/right_2017_11_12_00_43_48_186.jpg,0.1,1,0,30.18969
